image_id,url,local_path,width,height,sha256,phash,dhash,domain,sub_domain,split,query_source,alt_description,score_baseline,score_enhanced,download_timestamp,processing_timestamp
demo_028,https://images.unsplash.com/photo-1629208764118-73b1c7d5bb02,,0,0,,,,cocktail_type,modern,val,smoky mezcal cocktail with chili rim,Artisanal mezcal cocktail with smoked garnish and spiced rim,0.68,0.85,,2025-10-11T12:24:38.447350
demo_017,https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae,,0,0,,,,color_black,unspecified,train,black charcoal cocktail with activated carbon,Jet black cocktail with silver garnish and dramatic lighting,0.66,0.85,,2025-10-11T12:24:38.447216
demo_018,https://images.unsplash.com/photo-1611865734837-de0bece3de76,,0,0,,,,color_black,modern,test,black charcoal cocktail with activated carbon,Charcoal-dark cocktail with foam top and modern glass,0.63,0.82,,2025-10-11T12:24:38.447229
demo_005,https://images.unsplash.com/photo-1546171753-97d7676e4602,,0,0,,,,color_blue,unspecified,test,blue tropical cocktail with pineapple garnish,Electric blue cocktail with pineapple wedge and umbrella garnish,0.71,0.88,,2025-10-11T12:24:38.447066
demo_006,https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b,,0,0,,,,color_blue,unspecified,train,blue tropical cocktail with pineapple garnish,Turquoise layered drink with fresh pineapple and mint,0.68,0.84,,2025-10-11T12:24:38.447079
demo_011,https://images.unsplash.com/photo-1542090087-7d3e0d86b6ba,,0,0,,,,color_clear,floral,test,purple lavender gin cocktail with dried flowers,Purple gin cocktail with dried lavender sprig and crystal glass,0.69,0.87,,2025-10-11T12:24:38.447152
demo_014,https://images.unsplash.com/photo-1519734472571-8b6c5ab20c5c,,0,0,,,,color_clear,classic,train,clear martini with olive garnish,Pristine gin martini with three olives in martini glass,0.78,0.91,,2025-10-11T12:24:38.447180
demo_003,https://images.unsplash.com/photo-1572778492740-03e4c8f5d5eb,,0,0,,,,color_golden,unspecified,train,golden whiskey old fashioned with orange peel,Golden whiskey old fashioned in crystal rocks glass with orange peel,0.81,0.95,,2025-10-11T12:24:38.447012
demo_004,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0,,0,0,,,,color_golden,unspecified,train,golden whiskey old fashioned with orange peel,Amber whiskey cocktail with large ice cube and citrus twist,0.76,0.89,,2025-10-11T12:24:38.447051
demo_019,https://images.unsplash.com/photo-1565299507177-b0ac66763828,,0,0,,,,color_golden,unspecified,train,yellow lemon drop with sugar rim,Bright yellow lemon drop with sugared rim and lemon twist,0.75,0.92,,2025-10-11T12:24:38.447239
demo_020,https://images.unsplash.com/photo-1536935338788-846bb9981813,,0,0,,,,color_golden,unspecified,train,yellow lemon drop with sugar rim,Golden citrus cocktail with candied lemon wheel and crystal sugar,0.72,0.88,,2025-10-11T12:24:38.447249
demo_027,https://images.unsplash.com/photo-1582145701337-fa9c5b9aab2c,,0,0,,,,color_golden,unspecified,train,smoky mezcal cocktail with chili rim,Smoky amber mezcal with chili salt rim and lime wedge,0.71,0.88,,2025-10-11T12:24:38.447336
demo_007,https://images.unsplash.com/photo-1551538827-9c037cb4f32a,,0,0,,,,color_green,unspecified,train,green mint mojito with fresh herbs,Fresh mojito with muddled mint leaves and lime wedges,0.74,0.91,,2025-10-11T12:24:38.447107
demo_008,https://images.unsplash.com/photo-1574708575293-ed8ac61f5a8d,,0,0,,,,color_green,unspecified,val,green mint mojito with fresh herbs,Green herb-infused cocktail with basil and mint garnish,0.7,0.86,,2025-10-11T12:24:38.447120
demo_013,https://images.unsplash.com/photo-1578319439584-104c94d37305,,0,0,,,,color_green,classic,train,clear martini with olive garnish,Crystal clear martini with green olive on cocktail pick,0.82,0.94,,2025-10-11T12:24:38.447172
demo_015,https://images.unsplash.com/photo-1581833971358-2c8b550f87b3,,0,0,,,,color_orange,modern,val,orange creamsicle cocktail with vanilla foam,Orange creamy cocktail with white foam and orange zest,0.71,0.89,,2025-10-11T12:24:38.447191
demo_016,https://images.unsplash.com/photo-1596185002959-0d9c0b7e8f6a,,0,0,,,,color_orange,modern,train,orange creamsicle cocktail with vanilla foam,Sunset orange drink with cream foam and candied orange peel,0.68,0.86,,2025-10-11T12:24:38.447203
demo_001,https://images.unsplash.com/photo-1551538827-9c037cb4f32a,,0,0,,,,color_pink,floral,train,pink floral cocktail with rose petals,Pink cocktail with rose petals garnish in crystal coupe glass,0.73,0.92,,2025-10-11T12:24:38.446815
demo_002,https://images.unsplash.com/photo-1544145945-f90425340c7e,,0,0,,,,color_pink,floral,val,pink floral cocktail with rose petals,Rosé cocktail with dried rose buds and gold rim,0.69,0.87,,2025-10-11T12:24:38.446991
demo_012,https://images.unsplash.com/photo-1571982270044-4e8fe68b69a2,,0,0,,,,color_purple,floral,train,purple lavender gin cocktail with dried flowers,Lavender-hued cocktail with edible flowers and frosted rim,0.65,0.83,,2025-10-11T12:24:38.447163
demo_009,https://images.unsplash.com/photo-1561149877-84d268ba65b8,,0,0,,,,color_red,citrus,train,red strawberry margarita with salt rim,Bright red strawberry margarita with salt rim and fresh strawberry,0.72,0.9,,2025-10-11T12:24:38.447131
demo_010,https://images.unsplash.com/photo-1578662996442-48f60103fc96,,0,0,,,,color_red,citrus,train,red strawberry margarita with salt rim,Ruby red cocktail with sugared rim and berry garnish,0.67,0.85,,2025-10-11T12:24:38.447141
demo_021,https://images.unsplash.com/photo-1571115764595-644a1f56a55c,,0,0,,,,color_red,unspecified,test,burgundy wine cocktail with dark berries,Deep burgundy cocktail with blackberries and wine glass,0.7,0.87,,2025-10-11T12:24:38.447260
demo_022,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91,,0,0,,,,color_red,unspecified,train,burgundy wine cocktail with dark berries,Dark red wine cocktail with fresh berry medley,0.67,0.84,,2025-10-11T12:24:38.447270
demo_029,https://images.unsplash.com/photo-1551538827-9c037cb4f32a,,0,0,,,,color_red,unspecified,train,rainbow layered cocktail with multiple colors,Perfect rainbow layered cocktail with distinct color bands,0.74,0.91,,2025-10-11T12:24:38.447363
demo_030,https://images.unsplash.com/photo-1571982270044-4e8fe68b69a2,,0,0,,,,color_red,unspecified,train,rainbow layered cocktail with multiple colors,Gradient cocktail with smooth color transitions and fruit garnish,0.7,0.87,,2025-10-11T12:24:38.447374
demo_025,https://images.unsplash.com/photo-1609873814058-56b82c175161,,0,0,,,,color_silver,unspecified,val,silver metallic cocktail with edible glitter,Silver shimmering cocktail with edible glitter and metallic rim,0.64,0.83,,2025-10-11T12:24:38.447313
demo_026,https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae,,0,0,,,,color_silver,unspecified,train,silver metallic cocktail with edible glitter,Reflective cocktail with pearl dust and silver garnish,0.62,0.8,,2025-10-11T12:24:38.447327
demo_023,https://images.unsplash.com/photo-1571997478779-2adcbbe9ab2f,,0,0,,,,color_white,unspecified,train,white coconut piña colada with pineapple,Creamy white piña colada with pineapple wedge and toasted coconut,0.73,0.9,,2025-10-11T12:24:38.447284
demo_024,https://images.unsplash.com/photo-1546171753-97d7676e4602,,0,0,,,,color_white,unspecified,train,white coconut piña colada with pineapple,Tropical white cocktail with coconut shavings and fresh fruit,0.69,0.86,,2025-10-11T12:24:38.447299
